Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
2554,0.00106408,-0.000940457,0.00129443,0.029,0.0290441,-1.12068e-05,1.54416e-05,0.0229455,0.0229455
2555,0.00106363,-0.00117557,0.00161803,0.029,0.0290689,-1.26477e-05,1.75111e-05,0.022381,0.022381
2556,0.00106622,-0.000323607,0.000235114,0.029,0.0290028,-4.93786e-06,3.52414e-06,0.0236349,0.0236349
2557,0.00106523,-0.000647214,0.000470228,0.029,0.029011,-8.90246e-06,6.42491e-06,0.0235325,0.0235325
2558,0.00106466,-0.000970821,0.000705343,0.029,0.0290248,-1.24474e-05,9.03086e-06,0.0233163,0.0233163
2559,0.00106409,-0.00129443,0.000940457,0.029,0.0290441,-1.54516e-05,1.12588e-05,0.0229458,0.0229458
2560,0.00106365,-0.00161803,0.00117557,0.029,0.0290689,-1.74617e-05,1.27809e-05,0.0223813,0.0223813
2561,0.00106622,-0.000380423,0.000123607,0.029,0.0290028,-5.79539e-06,1.85277e-06,0.023635,0.023635
2562,0.00106524,-0.000760845,0.000247214,0.029,0.029011,-1.04669e-05,3.38611e-06,0.0235326,0.0235326
2563,0.00106467,-0.00114127,0.00037082,0.029,0.0290248,-1.46498e-05,4.76825e-06,0.0233165,0.0233165
2564,0.00106411,-0.00152169,0.000494427,0.029,0.0290441,-1.82003e-05,5.95606e-06,0.022946,0.022946
2565,0.00106367,-0.00190211,0.000618034,0.029,0.0290689,-2.05841e-05,6.77716e-06,0.0223816,0.0223816
2566,0.00106623,-0.0004,0,0.029,0.0290028,-6.09391e-06,-3.40762e-09,0.0236351,0.0236351
2567,0.00106525,-0.0008,0,0.029,0.029011,-1.10143e-05,8.14076e-09,0.0235327,0.0235327
2568,0.00106468,-0.0012,0,0.029,0.0290248,-1.54244e-05,2.52638e-08,0.0233167,0.0233167
2569,0.00106412,-0.0016,0,0.029,0.0290441,-1.91714e-05,5.05762e-08,0.0229463,0.0229463
2570,0.00106368,-0.002,0,0.029,0.0290689,-2.16927e-05,8.48725e-08,0.0223819,0.0223819
2571,0.000968969,-0.000123607,0.000380423,0.03,0.0300027,-1.15349e-06,4.50401e-06,0.0236114,0.0236114
2572,0.000968234,-0.000247214,0.000760845,0.03,0.0300107,-2.27264e-06,7.97892e-06,0.0235099,0.02351
2573,0.000967808,-0.00037082,0.00114127,0.03,0.030024,-3.27325e-06,1.10989e-05,0.0232958,0.0232958
2574,0.000967384,-0.000494427,0.00152169,0.03,0.0300426,-4.1189e-06,1.37563e-05,0.0229281,0.0229281
2575,0.000967051,-0.000618034,0.00190211,0.03,0.0300666,-4.67956e-06,1.55508e-05,0.0223673,0.0223673
2576,0.000968973,-0.000235114,0.000323607,0.03,0.0300027,-2.39615e-06,3.87553e-06,0.0236115,0.0236115
2577,0.000968242,-0.000470228,0.000647214,0.03,0.0300107,-4.53622e-06,6.83859e-06,0.0235101,0.0235101
2578,0.000967817,-0.000705343,0.000970821,0.03,0.030024,-6.45511e-06,9.5028e-06,0.0232959,0.0232959
2579,0.000967394,-0.000940457,0.00129443,0.03,0.0300426,-8.08368e-06,1.17754e-05,0.0229283,0.0229283
2580,0.00096706,-0.00117557,0.00161803,0.03,0.0300666,-9.17392e-06,1.3315e-05,0.0223676,0.0223676
2581,0.000968976,-0.000323607,0.000235114,0.03,0.0300027,-3.38487e-06,2.893e-06,0.0236115,0.0236115
2582,0.000968249,-0.000647214,0.000470228,0.03,0.0300107,-6.33967e-06,5.05234e-06,0.0235102,0.0235102
2583,0.000967827,-0.000970821,0.000705343,0.03,0.030024,-8.99389e-06,6.99722e-06,0.0232961,0.0232961
2584,0.000967405,-0.00129443,0.000940457,0.03,0.0300426,-1.12515e-05,8.65959e-06,0.0229286,0.0229286
2585,0.000967071,-0.00161803,0.00117557,0.03,0.0300666,-1.27702e-05,9.79054e-06,0.0223679,0.0223679
2586,0.00096898,-0.000380423,0.000123607,0.03,0.0300027,-4.02198e-06,1.65174e-06,0.0236116,0.0236116
2587,0.000968255,-0.000760845,0.000247214,0.03,0.0300107,-7.50399e-06,2.79264e-06,0.0235103,0.0235103
2588,0.000967837,-0.00114127,0.00037082,0.03,0.030024,-1.06363e-05,3.82282e-06,0.0232963,0.0232963
2589,0.000967417,-0.00152169,0.000494427,0.03,0.0300426,-1.33049e-05,4.70647e-06,0.0229288,0.0229288
2590,0.000967083,-0.00190211,0.000618034,0.03,0.0300666,-1.5106e-05,5.31226e-06,0.0223682,0.0223682
2591,0.000968985,-0.0004,0,0.03,0.0300027,-4.24388e-06,2.73069e-07,0.0236117,0.0236117
2592,0.000968263,-0.0008,0,0.03,0.0300107,-7.91182e-06,2.80163e-07,0.0235104,0.0235104
2593,0.000967844,-0.0012,0,0.03,0.030024,-1.12151e-05,2.89333e-07,0.0232964,0.0232964
2594,0.000967423,-0.0016,0,0.03,0.0300426,-1.40325e-05,3.01462e-07,0.022929,0.022929
2595,0.000967091,-0.002,0,0.03,0.0300666,-1.59387e-05,3.1638e-07,0.0223685,0.0223685
2596,0.000871854,-0.000123607,0.000380423,0.031,0.0310026,-6.45766e-07,3.55293e-06,0.0235941,0.0235941
2597,0.000871314,-0.000247214,0.000760845,0.031,0.0310103,-1.4809e-06,6.14083e-06,0.0234934,0.0234934
2598,0.000871,-0.00037082,0.00114127,0.031,0.0310232,-2.2316e-06,8.46969e-06,0.0232807,0.0232807
2599,0.000870684,-0.000494427,0.00152169,0.031,0.0310413,-2.87002e-06,1.04535e-05,0.0229153,0.0229153
2600,0.000870433,-0.000618034,0.00190211,0.031,0.0310644,-3.29856e-06,1.17892e-05,0.0223574,0.0223574
